Entry	Keywords
Q08257	3D-structure; Acetylation; Alternative splicing; Complete proteome; Cytoplasm; NADP; Oxidoreductase; Phosphoprotein; Polymorphism; RNA-binding; Reference proteome
P50336	3D-structure; Complete proteome; Disease mutation; FAD; Flavoprotein; Heme biosynthesis; Membrane; Mitochondrion; Mitochondrion inner membrane; Oxidoreductase; Polymorphism; Porphyrin biosynthesis; Reference proteome
Q4G176	ATP-binding; Complete proteome; Fatty acid metabolism; Ligase; Lipid metabolism; Mitochondrion; Nucleotide-binding; Polymorphism; Reference proteome; Transit peptide
Q5K4L6	Alternative splicing; Complete proteome; Fatty acid metabolism; Ligase; Lipid metabolism; Membrane; Mitochondrion; Nucleotide-binding; Polymorphism; Reference proteome; Transmembrane; Transmembrane helix
Q7L211	Complete proteome; Glycoprotein; Hydrolase; Membrane; Reference proteome; Signal-anchor; Transmembrane; Transmembrane helix
Q9H477	3D-structure; ATP-binding; Alternative splicing; Carbohydrate metabolism; Complete proteome; Kinase; Nucleotide-binding; Reference proteome; Transferase
Q9Y2P5	ATP-binding; Alternative splicing; Complete proteome; Endoplasmic reticulum; Fatty acid metabolism; Ligase; Lipid metabolism; Membrane; Nucleotide-binding; Phosphoprotein; Polymorphism; Reference proteome; Transmembrane; Transmembrane helix
O14975	ATP-binding; Acetylation; Alternative splicing; Complete proteome; Endoplasmic reticulum; Fatty acid metabolism; Ligase; Lipid metabolism; Membrane; Nucleotide-binding; Peroxisome; Phosphoprotein; Polymorphism; Reference proteome; Transmembrane; Transmembrane helix
Q6P1M0	Alternative splicing; Complete proteome; Disease mutation; Endoplasmic reticulum; Fatty acid metabolism; Ichthyosis; Ligase; Lipid metabolism; Lipid transport; Membrane; Nucleotide-binding; Polymorphism; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q6PCB7	Alternative splicing; Cell membrane; Complete proteome; Cytoplasm; Fatty acid metabolism; Ligase; Lipid metabolism; Lipid transport; Membrane; Nucleotide-binding; Reference proteome; Transmembrane; Transmembrane helix; Transport
Q9NZL9	3D-structure; Alternative splicing; Complete proteome; Direct protein sequencing; One-carbon metabolism; Polymorphism; Reference proteome
